0	대규모	100.00
1	소규모	52.90
2	거대한	46.89
3	초대형	43.81
4	대대적	42.97
5	대형	42.32
6	방대한	37.03
7	투자가	36.50
8	인프라	36.19
9	계획된	36.16
10	광범위한	36.11
11	국가적	36.08
12	거대	36.03
13	영업망	35.99
14	막대한	35.95
15	관개	35.89
16	동시다발	35.84
17	경기부양책	35.67
18	글로벌	35.64
19	다채로운	35.47
20	굵직한	35.41
21	엄청난	35.39
22	발주될	35.37
23	시추선	35.21
24	단발적	34.87
25	연례	34.81
26	단행된	34.73
27	시도된	34.63
28	성대한	34.58
29	벼농사	34.50
30	다국적	34.46
31	곡창	34.39
32	신규	34.38
33	잇따른	34.21
34	데이터	34.11
35	홍보전	34.04
36	기하급수적	34.00
37	경찰력	33.92
38	중견업체	33.78
39	감원	33.77
40	대량	33.72
41	분양된	33.60
42	최첨단	33.53
43	웅장한	33.50
44	동원돼	33.40
45	규모	33.39
46	잇따를	33.23
47	온라인	33.15
48	구조조정	33.13
49	산사태	33.09
50	기업화된	33.09
51	편재된	32.96
52	과감한	32.95
53	기습적	32.92
54	국지적	32.85
55	토목공사	32.83
56	최신식	32.64
57	국가사업	32.64
58	담수화	32.63
59	손님맞이	32.58
60	대기업	32.55
61	집단적	32.52
62	집약적	32.49
63	공한지	32.47
64	실시간	32.46
65	전국적	32.45
66	매설	32.43
67	공격적	32.43
68	연례행사	32.42
69	관개수로	32.36
70	노사분규	32.22
71	건설	32.18
72	고성능	32.18
73	조직된	32.17
74	분산형	32.11
75	상시적	32.10
76	일회성	32.08
77	연이은	32.02
78	일사불란한	32.01
79	도심지	32.00
80	유수한	31.98
81	저장소	31.88
82	늑장	31.76
83	계단식	31.71
84	집적된	31.70
85	수많은	31.69
86	대폭적	31.69
87	무분별	31.68
88	새해맞이	31.62
89	토건	31.61
90	개최돼	31.53
91	대국민	31.53
92	자생적	31.46
93	단행해	31.45
94	동원한	31.45
95	롤플레잉	31.41
96	설맞이	31.40
97	제설	31.39
98	방류되어	31.36
99	새로운	31.32
100	굵직굵직한	31.30
101	자구안	31.30
102	시추	31.28
103	못자리	31.28
104	풍력발전	31.22
105	합동	31.20
106	수공업	31.17
107	농경지	31.13
108	유상증자	31.12
109	실시된	31.12
110	공공주택	31.11
111	증설한	31.10
112	빈발하여	31.08
113	상주인구	31.07
114	지능화된	31.02
115	다양한	30.99
116	다목적	30.98
117	경기부양	30.93
118	매수세	30.87
119	단행한	30.82
120	방호시설	30.80
121	자금력	30.80
122	중소형	30.74
123	국책	30.68
124	떠들썩한	30.65
125	야외	30.59
126	실시한	30.59
127	단발성	30.54
128	운집하여	30.53
129	공권력	30.51
130	무역품	30.47
131	골재	30.41
132	치밀한	30.33
133	경작지	30.33
134	첨예화된	30.26
135	줄기찬	30.24
136	송년	30.22
137	준설한	30.21
138	부수적	30.12
139	세계적	30.11
140	장려한	30.11
141	클러스터	30.09
142	집중된	30.04
143	기업화	30.01
144	신도시	29.99
145	대작	29.98
146	전개돼	29.97
147	자사주	29.97
148	수십만	29.97
149	추모	29.95
150	파상적	29.94
151	무분별한	29.94
152	발생한	29.92
153	준공한	29.92
154	분양한	29.91
155	막강한	29.90
156	계층화된	29.90
157	공세적	29.90
158	수자원	29.89
